game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Knight Squad 2₹349,Knight Squad 2,₹349,Chainsawesome Games,Action,Multiplayer,Chainsawesome Games,04/14/21,WindowsWindows,Windows 10,Intel Core i5,8 GB RAM,null,,,null,null,null
Surgeon Simulator 2₹469,Surgeon Simulator 2,₹469,Bossa Studios,ActionSimulationPuzzlePartyComedy,Co-opMultiplayerSingle Player,Bossa Studios,08/27/20,WindowsWindows,Windows 10 64 bit,Intel Core i5 - 4670,8 GB RAM,GTX 770,,,null,null,null
"Close To The Sun₹1,490",Close To The Sun,"₹1,490",Storm in a Teacup,HorrorFirst PersonAdventure,Single Player,Wired Productions,05/02/19,WindowsWindows,Windows 10,Core i7 / AMD Ryzen 7,8 GB RAM,NVIDIA GeForce GTX 1060 / AMD RX 470,,,24%,64,Weak
PC Building Simulator₹469,PC Building Simulator,₹469,The Irregular Corporation,SimulationIndie,AchievementsSingle Player,The Irregular Corporation,10/07/21,Initial Release01/29/19,Windows 10,Intel Core i7-2600K or Ryzen™ 3 1200 (or equivalent),8 GB RAM,Privacy Policy,null,null,36%,70,Fair
Demon Turf₹569,Demon Turf,₹569,Fabraz,AdventureerIndie,Single PlayerController Support,Playtonic Games,11/04/21,WindowsWindows,Windows 7 / Windows 8 / Windows 10 & Above,3.5 GHz processor,8 GB RAM,20 GB available space,,,null,null,null
Empires of the Undergrowth₹484,Empires of the Undergrowth,₹484,Slug Disco,SimulationStrategy,null,Slug Disco,10/28/20,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i5-6400 / AMD Ryzen 5 1600,8 GB RAM,3GB,null,null,null,null,null
Figment₹521,Figment,₹521,Bedtime Digital Games,ActionIndieAdventure,null,Bedtime Digital Games,03/26/20,WindowsWindows,Windows 10,"Intel Core i5 2500 @3.3 GHz, AMD FX 6120 @3.6 GHz",8 GB RAM,3 GB available space,,,69%,79,Strong
Bonfire Peaks₹469,Bonfire Peaks,₹469,Corey Martin,PuzzleAdventureIndie,Single Player,Draknek & Friends,09/30/21,WindowsWindowsMac OSMac OS,Windows 10,1.8 GHz+,8 GB RAM,500 MB Available Space,,,null,null,null
SuchArt: Genius Artist Simulator-30%₹469₹328.30,SuchArt: Genius Artist Simulator,₹328.30,Voolgi,SimulationFirst Person,Single Player,HypeTrain Digital,07/14/21,WindowsWindows,64-Bit Windows 7/8/10,Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalent,8 GB RAM,Privacy Policy,null,null,null,null,null
ABZU₹595,ABZU,₹595,Giant Squid,ExplorationAdventure,Single PlayerController Support,505 Games,08/02/16,WindowsWindows,"Windows 7, 64-bit",2.4GHz CPU Quad Core,8 GB RAM,Geforce GTX 780 / Radeon R9 290X,null,null,74%,80,Strong
Lumberjack's Dynasty₹589,Lumberjack's Dynasty,₹589,UMEO Studios,SimulationRPGAdventure,Single PlayerController Support,Toplitz Productions,04/29/21,WindowsWindows,Windows 10,"Intel i5 / AMD X4, min. 2.8 GHz",8 GB RAM,12 GB,,,null,null,null
INSIDE₹595,Inside,₹595,Playdead,IndiePuzzleAdventure,Controller SupportSingle Player,Playdead,07/07/16,WindowsWindowsMac OSMac OS,Windows 8/10 (64-bit OS required),"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",8 GB RAM,"NVIDIA GTX 660, Radeon R9-270",,,94%,91,Mighty
"Outward₹2,533",Outward,"₹2,533",Nine Dots Studio,RPG,Co-opSingle Player,PRIME MATTER,03/26/19,WindowsWindows,Windows 7/8/10,Intel Core i5-2400 or equivalent,8 GB RAM,Nvidia GTX 960 or equivalent,,,23%,64,Weak
FORECLOSED₹489,FORECLOSED,₹489,Antab Studio,ActionRPGAdventure,Single Player,Merge Games Ltd.,08/12/21,WindowsWindows,Windows 10 or later,Intel Core i7,8 GB RAM,2 GB available space,,,null,null,null
Boomerang X₹699,Boomerang X,₹699,DANG!,ActionIndie,Controller Support,Devolver Digital,07/08/21,WindowsWindows,Windows 10 x64,Intel Core i7-7700HQ (2 * 2800) or equivalent,8 GB RAM,10 GB available space,,,78%,80,Strong
"Elite Dangerous₹1,937",Elite Dangerous,"₹1,937",Frontier Developments,Action,MultiplayerSingle Player,Frontier Developments,11/19/20,Initial Release04/02/15,Windows 7/8/10 64-bit,Intel Core i7-3770K Quad Core CPU or better / AMD FX 4350 Quad Core CPU or better,8 GB RAM,25 GB available space,,,72%,79,Strong
"Wolfenstein: The Old Blood₹1,179",Wolfenstein: The Old Blood,"₹1,179",Machine Games,ActionShooterFirst Person,Single Player,Bethesda Softworks,09/09/21,Initial Release05/05/15,64-bit Windows 7/Windows 8,Intel® Core™ i7 / AMD FX-8350,8 GB RAM,null,,,null,null,null
"Werewolf: The Apocalypse – Earthblood₹1,099",Werewolf: The Apocalypse - Earthblood,"₹1,099",Cyanide Studio,RPG,null,Nacon,12/14/20,Initial Release02/04/21,Windows 10,Intel Core i7-8700 | AMD Ryzen 5 3600X,8 GB RAM,"Nvidia GeForce GTX 780, 3 GB | AMD Radeon R9 290, 4 GB",,,null,null,null
Sky Racket₹349,Sky Racket,₹349,Double Dash Studios,CasualSportsIndie,Controller SupportCo-op,Double Dash Studios,09/21/21,Initial Release10/22/19,Windows 10,Intel Core i5 3 GHz or better,8 GB RAM,NVIDIA GeForce GTX 660 or better,,,null,null,null
The Town of Light₹469,The Town of Light,₹469,LKA,HorrorNarrationIndie,Single Player,Wired Productions,11/02/21,Initial Release02/26/16,Windows 10,Intel Core i5 or equivalent AMD,8 GB RAM,8 GB,,,24%,63,Weak
"Tropico 5₹1,199",Tropico 5,"₹1,199",Haemimont Games,SimulationRPGStrategy,MultiplayerSingle Player,Kalypso Media Group GmbH,12/23/20,WindowsWindows,"Windows 7 (64 bit), Windows 8 (64 bit)",2.5 GHz Quad Core CPU,8 GB RAM,4 GB available space,null,null,47%,76,Strong
"For Honor Standard Edition₹1,499",For Honor,"₹1,499",Ubisoft,ActionFighting,MultiplayerSingle PlayerController Support,Ubisoft,02/14/17,WindowsWindows,"Windows 10, Windows 11 (64-bit versions only)",Intel Core i5-7500 | AMD Ryzen 5 1400 or equivalent,8 GB RAM,NVIDIA GeForce GTX1080 with 3 GB VRAM or more | AMD Radeon RX580 with 4 GB VRAM or more,null,null,58%,77,Strong
Dangerous Driving₹819,Dangerous Driving,₹819,Three Fields Entertainment,Racing,MultiplayerSingle Player,Three Fields Entertainment,04/09/19,WindowsWindows,Windows 10,Intel i7 3.5GHz / AMD FX 9590,8 GB RAM,GTX970 / AMD Radeon R9 290,,,22%,65,Weak
Redout: Solar Challenge Edition₹709,Redout: Solar Challenge Edition,₹709,34BigThings,Racing,Single Player,34BigThings,09/01/21,Initial Release09/16/16,Windows 10,i5 2.6Ghz,8 GB RAM,6 GB available space,,,null,null,null
Sands of Aura₹589,Sands of Aura,₹589,Chashu Entertainment,ActionRPGAdventure,Single PlayerController Support,Freedom Games,10/21/21,WindowsWindows,Windows 10 64-bit,Intel Core i7 4790/ AMD Ryzen 7 3780U,8 GB RAM,12 GB available space,null,null,null,null,null
GRIME₹589,GRIME,₹589,Clover Bite,er,Single PlayerController Support,–,08/02/21,WindowsWindows,Windows 10,Intel i5 3470 or AMD equivelent,8 GB RAM,10 GB available space,,,82%,84,Mighty
Death's Door₹699,Death's Door,₹699,Acid Nerve,ActionRPGAdventure,Single Player,Devolver Digital,07/22/21,Initial Release07/20/21,Windows 10 x64,Intel Core i5-4670K (4 * 3400) or equivalent; AMD FX-8350 (8 * 4700) or equivalent,8 GB RAM,10 GB available space,,,98%,88,Mighty
"WE ARE FOOTBALL₹1,580",WE ARE FOOTBALL,"₹1,580",Winning Streak Games,Simulation,Single Player,THQ Nordic,06/10/21,WindowsWindows,64-bit Windows 10,AMD / Intel processor running at 3.3 GHz or higher,8 GB RAM,2 GB,,,0%,66,Fair
Jotun: Valhalla Edition₹459,Jotun: Valhalla Edition,₹459,Thunder Lotus,ActionIndieAdventure,Controller Support,Thunder Lotus,12/06/19,WindowsWindowsMac OSMac OSMac OSMac OS,Microsoft® Windows® 7,3.5 GHz Processor,8 GB RAM,DirectX 10-compatible graphics card with at least 1GB of video memory,,,50%,75,Strong
Chicken Police - Paint it Red!-50%₹469₹234.50,Chicken Police - Paint it Red!,₹234.50,The Wild Gentlemen,IndieAdventure,Controller SupportSingle Player,HandyGames,05/21/21,Initial Release11/05/20,Windows 10 64-bit,Quad Core CPU - 3 GHZ,8 GB RAM,5000 MB,,,93%,82,Strong
SUPERHOT: Mind Control Delete₹102,SUPERHOT: Mind Control Delete,₹102,SUPERHOT Team,ActionFirst PersonShooter,Controller SupportSingle Player,SUPERHOT Team,07/16/20,WindowsWindows,Windows 10,Intel Core i5-4690,8 GB RAM,GeForce GTX 660 (2048 MB Ram),null,null,84%,81,Strong
Moonlighter₹521,Moonlighter,₹521,Digital Sun Games,RPGAdventure,Controller SupportSingle Player,11 Bit Studios,05/29/18,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 10,Intel(R) Core(TM) i5,8 GB RAM,GeForce GTX 660,,,79%,82,Strong
Verdun₹599,Verdun,₹599,M2H & Blackmill Games,ActionShooter,Co-opMultiplayerSingle PlayerController Support,M2H,07/22/21,Initial Release09/19/13,Windows 8/10,"Intel CPU Core i5-2500K 3.3GHz, AMD CPU Phenom II X4 940",8 GB RAM,12 GB available space,,,20%,57,Weak
Fort Triumph₹529,Fort Triumph,₹529,CookieByte Entertainment,RPGStrategy,Co-opSingle Player,All in! Games,08/17/21,Initial Release08/13/21,Windows 10 (64bit),Intel i7 4770 processor or equivalent,8 GB RAM,3 GB available space,,,53%,74,Fair
Spiritfarer®: Farewell Edition₹699,Spiritfarer®: Farewell Edition,₹699,Thunder Lotus,IndieSimulationer,null,Thunder Lotus,08/18/20,WindowsWindowsMac OSMac OS,Microsoft® Windows® 10 (64-bit),2.4 GHz Processor,8 GB RAM,9 GB available space,,,null,null,null
FortniteFree,Fortnite,Free,Epic Games,ActionShooter,Co-opMultiplayerSingle PlayerController Support,Epic Games,07/21/17,Initial Release07/21/17,Windows 10 64-bit,Core i5-7300U 3.5 GHz,8 GB RAM,"Nvidia GTX 960, AMD R9 280, or equivalent DX11 GPU",null,null,93%,84,Mighty
Totally Accurate Battle Simulator₹469,Totally Accurate Battle Simulator,₹469,Landfall Games,SimulationStrategy,Single Player,Landfall Games,04/01/19,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB RAM,10 GB available space,,,null,null,null
Alluris₹347,Alluris,₹347,562 Interactive,RPGAdventureCard Game,Controller Support,562 Interactive,08/27/20,WindowsWindows,Windows 10,AMD Ryzen 7 2700X,8 GB RAM,2 GB available space,,,null,null,null
DISC ROOM₹595,DISC ROOM,₹595,"Terri, Dose, Kitty and JW",ActionIndieAction-AdventureAdventure,Single Player,Devolver Digital,10/22/20,WindowsWindowsMac OSMac OS,"Windows 7, 8.1, 10 x64",Intel Core i5-2500K (4 * 3300) or equivalent,8 GB RAM,1 GB available space,,,81%,83,Strong
"Warhammer 40,000: Gladius - Relics of War₹968","Warhammer 40,000: Gladius - Relics of War",₹968,Proxy Studios,Turn-BasedStrategy,Single Player,Slitherine Ltd.,11/12/20,WindowsWindows,Windows 10 (64 bit),Intel Core i5 or equivalent,8 GB RAM,8 GB available space,null,null,50%,73,Fair
"Assassin's Creed Origins Standard Edition₹2,999",Assassin's Creed Origins,"₹2,999",Ubisoft Montreal,ActionAction-AdventureOpen WorldAdventure,Controller SupportSingle Player,Ubisoft,10/26/17,WindowsWindows,"Windows 7 SP1 | Windows 8.1, Windows 10 | 64-bit only",Intel Core i5-2400s @ 2.5 GHz | AMD FX-6350 @ 3.9 GHz or equivalent,8 GB RAM,NVIDIA GeForce GTX 760 or AMD R9 270 | 2048 MB VRAM with Shader Model 5.0 or better,,,87%,85,Mighty
"Nioh: The Complete Edition₹2,499",Nioh: The Complete Edition,"₹2,499","KOEI TECMO GAMES CO., LTD.",ActionRPG,Co-opMultiplayerSingle Player,"KOEI TECMO GAMES CO., LTD.",09/09/21,Initial Release11/07/17,"Windows® 10 64bit, Windows® 8.1 64bit",Intel® Core™ i7 4770K or over,8 GB RAM,80 GB,,,95%,84,Mighty
Just Die Already₹459,Just Die Already,₹459,DoubleMoose,Open WorldComedyAdventure,Co-opMultiplayerSingle Player,Curve Digital,05/20/21,WindowsWindows,Windows 10,Intel Core i5 9400f @2.9hz / AMD-FX-6300,8 GB RAM,2.5GB,,,null,null,null
A Juggler's Tale₹499,A Juggler's Tale,₹499,kaleidoscube,PuzzleAdventureer,Single PlayerController Support,Mixtvision,08/27/20,WindowsWindows,Windows 7/8/10 64-bit,Intel Core i5-6600k,8 GB Ram,3 GB HDD Space,,,null,null,null
Tunche₹469,Tunche,₹469,Leap Game Studios,Action,Co-opSingle Player,Hypetrain Digital LTD,11/02/21,WindowsWindows,64-bit Windows 10,3.2 GHz Quad Core Processor,8 GB RAM,5 GB available space,,,null,null,null
Idle Champions of the Forgotten RealmsFree,Idle Champions of the Forgotten Realms,Free,Codename Entertainment,Strategy,Single Player,Codename Entertainment,02/16/21,WindowsWindows,Microsoft® Windows 10,"2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices",8 GB RAM,3 GB Available Space,null,null,null,null,null
Kill It With Fire₹349,Kill It With Fire,₹349,Casey Donnellan Games LLC,IndieSimulation,Single Player,tinyBuild,08/13/20,WindowsWindows,Windows 10,2.4 GHz Quad Core,8 GB RAM,2 GB available space,,,54%,69,Fair
Heroes & Generals WWIIFree,Heroes & Generals WWII,Free,TLM Partners,ActionShooter,Co-opMultiplayer,TLM Partners,09/24/20,WindowsWindows,Windows 10 x64,Intel i5 / AMD Ryzen 5 or higher,8 GB RAM,3 GB,null,null,null,null,null
Lords and Villeins₹589,Lords and Villeins,₹589,Honestly Games,City BuilderSimulationIndie,Single Player,1C Entertainment,09/30/21,WindowsWindows,Windows 10 64-bit,Intel Pentium i5-7500,8 GB RAM,Nvidia GTX 760,null,null,null,null,null
"Kingdoms of Amalur: Re-Reckoning₹1,457",Kingdoms of Amalur: Re-Reckoning,"₹1,457","KAIKO, Big Huge Games",ActionFightingRPG,null,THQ Nordic,09/08/20,WindowsWindows,"Windows 7, Windows 8, Windows 10 (64 bit)",Intel or AMD Quad Core CPU 3 GHz,8 GB RAM,DirectX 11 Feature Level AMD or NVIDIA Card with 2 GB VRAM,,,56%,72,Fair
Last Day of June₹595,Last Day of June,₹595,Ovosonico,RPGIndie,Single PlayerController Support,505 Games,08/31/17,WindowsWindows,Windows 8/10 (64-bit OS required),"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",8 GB RAM,"NVIDIA GTX 660, Radeon R9-270",,,59%,73,Fair
Inscryption₹699,Inscryption,₹699,Daniel Mullins Games,Card GameHorrorPuzzle,Single PlayerController Support,Devolver Digital,10/20/21,WindowsWindows,Windows 10,Intel Core i5-3470 (4 * 3200); AMD FX-4350 (4 * 4200),8 GB RAM,GeForce GTX 1050 2048 VRAM; Radeon RX 460 4096 VRAM,,,98%,86,Mighty
Hundred Days - Winemaking Simulator₹589,Hundred Days - Winemaking Simulator,₹589,Broken Arms Games,IndieSimulationStrategy,Single Player,Broken Arms Games,05/13/21,WindowsWindowsMac OSMac OS,Windows 10,"Intel Core i5-2500, AMD FX-8100 or equivalent",8 GB RAM,2 GB,,,null,null,null
"Grand Theft Auto V: Premium Edition₹2,321.44",Grand Theft Auto V,"₹2,321.44",Rockstar Games,ActionAdventure,null,Rockstar Games,05/14/20,WindowsWindows,"Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",Intel Core i5 3470 @ 3.2GHZ (4 CPUs) / AMD X8 FX-8350 @ 4GHZ (8 CPUs),8 GB RAM,NVIDIA GTX 660 2GB / AMD HD7870 2GB,,,92%,92,Mighty
Tennis Manager 2021₹939,Tennis Manager 2021,₹939,Rebound CG.,Simulation,null,Rebound CG.,05/25/21,WindowsWindowsMac OSMac OS,Windows 10 x64,AMD/Intel dual-core 2.5 GHz,8 GB RAM,15 GB available space,,,null,null,null
Voidtrain₹709,Voidtrain,₹709,HypeTrain Digital,ActionAdventure,Co-op,HypeTrain Digital,08/12/21,WindowsWindows,Requires a 64-bit processor and operating system,Intel Core i7-4770 @ 3.4 GHz or AMD,8 GB RAM,10 GB available space,null,null,null,null,null
InnerSpace₹521,InnerSpace,₹521,PolyKnight Games,Exploration,Single Player,Aspyr Media,01/16/18,WindowsWindowsMac OSMac OS,Windows 7 or Windows 10,AMD A8-7600 (3.1 Ghz) OR Intel Core i3 4170 (3.7 Ghz),8 GB RAM,Nvidia GPU GeForce GTX 650 / AMD GPU Radeon HD 6850 / Intel Iris Pro 5200,,,25%,66,Fair
Godstrike₹349,Godstrike,₹349,Overpowered Team,ActionIndie,Single Player,Freedom Games,10/14/21,Initial Release04/15/21,Windows 10 / 8 / 7,Intel Core i5-4690 / AMD FX 6350,8 GB RAM,4 GB Video RAM - NVIDIA GeForce GTX,,,21%,55,Weak
Death Coming₹317,Death Coming,₹317,NExT Studios,CasualPuzzleStrategy,Single Player,NExT Studios,05/07/20,WindowsWindows,"Windows Vista, Windows 7, Windows 10",Intel i3,8 GB RAM,500 MB available space,,,null,null,null
"Assassins Creed Odyssey Standard Edition₹2,999",Assassins Creed Odyssey,"₹2,999",Ubisoft,ActionRPG,Controller SupportSingle Player,Ubisoft,10/05/18,WindowsWindows,"Windows 7 SP1, Windows 8.1, Windows 10 | 64 bit only",AMD FX-8350 @ 4.0 GHz | Ryzen 5 - 1400 | Intel Core i7-3770 @ 3.5 GHz or better,8 GB RAM,AMD Radeon R9 285 | NVIDIA GeForce GTX 660 | 2GB VRAM with Shader Model 5.0,,,83%,84,Mighty
The Dungeon of Naheulbeuk-50%₹856₹428,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,₹428,Artefacts Studio,RPGAdventure,Controller SupportSingle Player,Dear Villagers,09/17/20,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i5-2300 | AMD FX-4350,8 GB RAM,"Nvidia GeForce GTX 560, 1 GB | AMD Radeon HD 6950, 2 GB",null,null,null,null,null
Layers of Fear 2₹469,Layers of Fear 2,₹469,Bloober Team SA,HorrorIndie,null,Gun Media,10/22/20,WindowsWindows,Windows 10,Intel Core i5-6500 (3.2 GHz) / AMD Ryzen 5 1600,8 GB RAM,14 GB Available Space,,,43%,70,Fair
Universe Sandbox₹709,Universe Sandbox,₹709,Giant Army,Simulation,Single Player,Giant Army,09/23/21,Initial Release08/24/15,Windows 10 (64-bit),3.6 GHz quad-core,8 GB RAM,2+ GB available space,null,null,null,null,null
DARQ: Complete Edition₹469,DARQ: Complete Edition,₹469,Unfold Games,HorrorPuzzleAdventure,Single Player,Unfold Games,10/28/21,WindowsWindows,"Windows 10, 64-bits",Intel Core i7,8 GB RAM,3 GB available space,,,62%,75,Strong
Bloodroots₹595,Bloodroots,₹595,Paper Cult,ActionAction-AdventureAdventureIndie,Single Player,Paper Cult,02/28/20,WindowsWindows,Windows 10,Intel Core i5 quad-core 3.4GHz or equivalent,8 GB RAM,GeForce GTX 660 (2048 MB) / Radeon HD 7970,,,77%,78,Strong
"Mount & Blade II: Bannerlord₹2,499",Mount & Blade II,"₹2,499",TaleWorlds Entertainment,ActionSimulationRPG,null,TaleWorlds Entertainment,06/18/20,WindowsWindows,Windows 10 (64-bit only),Intel® Core™ i5-9600K / AMD Ryzen™ 5 3600X,8 GB RAM,NVIDIA® GeForce® GTX 1060 3GB / AMD Radeon™ RX 580,,,null,null,null
Trover Saves the Universe₹745,Trover Saves the Universe,₹745,Squanch Games,ActionIndieComedy,Controller SupportSingle PlayerVR,Squanch Games,06/04/19,WindowsWindows,Windows 7/8.1/10 (64-bit versions),Intel Core i5-2400/AMD FX-8320 or better,8 GB RAM,"NVIDIA GeForce GTX 1060, AMD Radeon RX 480 equivalent or better",null,null,63%,76,Strong
"Railway Empire₹1,799",Railway Empire,"₹1,799",Gaming Minds Studios,SimulationStrategy,Controller SupportSingle Player,Kalypso Media,09/10/20,Initial Release01/26/18,Windows 7 SP1 or Windows 8.1 or Windows 10(64bit versions),Intel Core i5 2400s @ 2.5 GHz or AMD FX 4100 @ 3.6,8 GB RAM,7,null,null,56%,76,Strong
Black Book₹589,Black Book,₹589,Morteshka,IndieRPGAdventure,Controller SupportSingle Player,HypeTrain Digital,08/10/21,WindowsWindows,"Windows 7, 8, 10",Intel Core i7 or AMD 1800 equivalent,8 GB RAM,null,,,85%,81,Strong
Next Up Hero₹563,Next Up Hero,₹563,Digital Continue,ActionDungeon CrawlerRPG,Controller Support,"Aspyr Media, Inc.",07/23/20,WindowsWindows,"Windows 7, Windows 10",Intel Core i3 (3.4 GHz) or AMD A8-7600 (3.1 GHz),8 GB RAM,AMD Radeon HD 6850 / NVIDIA GeForce 650 / Intel Iris Pro 5200,,,null,null,null
Murder by Numbers₹349,Murder by Numbers,₹349,Mediatonic,PuzzleAdventureIndie,null,The Irregular Corporation,03/23/21,Initial Release03/06/20,Windows 7 or higher (64 bit),Intel Core i5 or higher,8 GB RAM,2 GB,,,83%,81,Strong
GRAVEN₹699,GRAVEN,₹699,Slipgate Ironworks™,ActionShooter,Single Player,"1C Entertainment, 3D Realms",05/26/21,WindowsWindows,Windows 10 64-bit,intel i5 3.5 GHz or faster,8 GB RAM,8 GB,null,null,null,null,null
The Pathless₹968,The Pathless,₹968,Giant Squid,RPG,Single Player,Annapurna Interactive,11/12/20,WindowsWindows,Windows 10,Intel Core i7-6700 | AMD Ryzen 7 1800X,8 GB RAM,Nvidia GeForce GTX 1070 | AMD Radeon RX Vega 56,,,82%,79,Strong
SpellForce 3: Soul Harvest₹809,SpellForce 3: Soul Harvest,₹809,Grimlore Games,RPGStrategy,MultiplayerSingle Player,THQ Nordic,07/16/21,Initial Release05/28/19,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB RAM,15 GB,,,null,null,null
"OVERPASS™₹1,117",OVERPASS™,"₹1,117",Zordix Racing,SportsSimulationRacing,Controller Support,Bigben Interactive,02/27/20,WindowsWindows,Windows® 7 64bits,Intel Core i5-6600 or AMD Ryzen 5 1600,8 GB RAM,Nvidia GeForce GTX 1060 3 Go or Radeon RX 580 4 Go,null,null,19%,54,Weak
Deliver Us The Moon₹589,Deliver Us The Moon,₹589,Keoken Interactive,AdventureFirst PersonIndie,Single Player,Wired Productions,11/02/21,Initial Release10/10/19,Windows 10,"Quad Core Processor, 3 GHz or faster",8 GB RAM,10 GB available space,,,71%,76,Strong
Asemblance: Oversight₹189,Asemblance: Oversight,₹189,Nilo Studios,Indie,Single Player,Nilo Studios,09/03/21,Initial Release05/15/21,Windows 7 / Windows 8 / Windows 10,Core i5 processor or equivalent,8 GB RAM,5 GB available space,,,null,null,null
"Tyranny - Gold Edition₹1,099",Tyranny - Gold Edition,"₹1,099",Obsidian Entertainment,ActionRPGAdventure,null,Paradox Interactive,12/10/20,Initial Release11/10/16,Windows 7 64-bit or newer,Intel Core i3-2100 @ 3.10 GHz / AMD Phenom II X4 955 @ 3.10 GHz,8 GB RAM,15 GB available space,,,73%,81,Strong
